Item,Quantity,Price (USD),Shipping (USD),Total Price (USD),Note,Link
Seeed Studio XIAO nRF52840,1,$5.15,$1.72,$6.87,,https://www.aliexpress.com/item/1005004459618789.html?spm=a2g0o.productlist.main.1.5c67UfrcUfrcua&algo_pvid=7d5d64fb-67c1-49d0-bc6c-7c3b8eeacdfb&algo_exp_id=7d5d64fb-67c1-49d0-bc6c-7c3b8eeacdfb-1&pdp_ext_f=%7B%22order%22%3A%22367%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%216.87%215.15%21%21%216.87%215.15%21%40211b61d017529419036327292e2413%2112000039319962127%21sea%21CZ%214820345181%21X&curPageLogUid=QQ8cADm1y2Iw&utparam-url=scene%3Asearch%7Cquery_from%3A
1.32inch OLED Display Module,1,$5.49,$6.00,$11.49,,https://www.waveshare.com/1.32inch-oled-module.htm
GY-271 QMC5883L Magnetometer,1,$1.92,$0.00,$1.92,Shipping is free due to aliexpress choice,https://www.aliexpress.com/item/1005007183006706.html
MPU-6500 6-Axis Accelerometer Gyroscope,1,$2.03,$0.00,$2.03,Shipping is free due to aliexpress choice,https://www.aliexpress.com/item/1005008913624575.html
DS3231 Real Time Clock,1,$1.80,$0.00,$1.80,Shipping is free due to aliexpress choice,https://www.aliexpress.com/item/1005006885926027.html
GT-U7 GPS module,1,$6.80,$0.00,$6.80,Shipping is free due to aliexpress choice,https://www.aliexpress.com/item/1005001713388717.html
Lipo Battery,1,$9.01,$2.68,$11.69,This was the best battery i could find when comparing size and capacity,https://www.aliexpress.com/item/1005006666958920.html
360 Degrees Rotary Encoder Module,1,$1.28,$0.00,$1.28,Shipping is free due to aliexpress choice,https://www.aliexpress.com/w/wholesale-Rotary-Encoder-Module.html
